gw	25
gu	2800
gt	506
gs	1562
gr	7111
gp	1
gz	3
gy	239
gg	897
gf	9
ge	13014
gd	59
gb	1
ga	6330
go	5450
gn	2136
gm	189
gl	3169
gk	5
gi	5270
gh	10122
tz	144
tx	1
ty	6679
tv	17
tw	2473
tt	7886
tu	8891
tr	13798
ts	11241
tp	64
tn	307
to	43350
tl	5402
tm	865
tk	11
th	148450
ti	41445
tf	313
tg	70
td	15
te	43082
tb	46
tc	1203
ta	18650
jb	5
zl	73
zm	63
zn	17
zo	701
zh	154
zi	373
zk	4
zd	27
ze	1579
za	306
jc	6
mh	5
zy	32
zz	83
zu	168
zv	1
zw	1
zs	2
va	4352
wk	78
wj	1
vi	9060
vj	1
vk	8
vl	215
vn	531
vo	3147
me	31391
md	8
mg	1
mf	187
ma	21207
mc	164
mb	3074
mm	3199
ml	237
mo	13305
mn	412
mi	10728
vr	89
wh	19686
mj	2
mu	3841
mt	70
mw	14
mv	2
mp	8269
ms	3581
mr	496
vt	2
my	3998
vu	79
vv	2
vw	4
fr	11023
fs	250
ft	4220
fu	3481
fw	33
fy	241
fa	7301
fb	28
fd	1
fe	9894
ff	6017
fg	3
fh	5
fi	9992
fj	3
fk	7
fl	2725
fm	3
fn	40
fo	17373
sz	4
sy	1662
wt	313
ss	19204
sr	55
sq	279
sp	6750
sw	1379
sv	102
su	12302
st	37964
sk	3364
sj	6
si	19662
sh	17392
so	16390
sn	583
sm	3165
sl	2834
sc	5262
sb	513
sa	12778
sg	89
sf	598
se	36857
sd	116
lf	3064
lg	179
ld	11161
le	32662
lb	227
lc	557
la	19935
ln	272
lo	16696
ll	24700
lm	1213
lj	1
lk	1339
lh	56
li	21818
lv	1176
lw	791
lt	4027
lu	4193
lr	665
ls	3928
lp	695
lq	1
lz	26
ly	18924
yi	1795
yh	18
yk	38
ym	927
yl	672
yo	9055
yn	293
ya	1676
yc	271
yb	169
ye	4477
yd	150
yg	48
yf	113
yx	21
yz	27
yp	655
ys	3478
yr	225
yu	62
yt	1076
yw	125
yv	29
em	14156
el	19434
eo	2994
en	55464
ei	6949
eh	998
ek	522
ej	156
ee	14534
ed	54578
eg	4234
ef	6277
ea	27197
ec	14678
eb	979
ey	6545
ex	7063
ez	255
eu	1305
et	14244
ew	5367
ev	9919
eq	1143
ep	7149
es	48511
er	84155
rt	11709
ru	5573
rv	2183
rw	530
rp	1308
rq	25
rr	7911
rs	16499
rx	2
ry	11391
rz	85
rd	7225
re	72453
rf	1388
rg	3888
ra	22682
rb	710
rc	3870
rl	2781
rm	7076
rn	5927
ro	29376
rh	652
ri	27952
rj	4
rk	2354
xh	122
xi	1200
xo	88
xl	5
xc	1284
xa	1010
xf	13
xe	825
xx	103
xy	43
xs	19
xp	2190
xq	7
xv	113
xw	1
xt	1478
xu	111
kc	48
kb	8
ka	830
kg	20
kf	45
ke	9541
kd	4
kk	1
ki	5356
kh	829
ko	677
kn	3041
km	59
kl	632
ks	1559
kr	116
kq	1
kp	2
kw	121
kv	12
ku	745
kt	19
ky	277
mk	7
dn	457
do	8960
dl	2094
dm	786
dj	374
dk	86
dh	169
di	17202
df	155
dg	881
dd	2110
de	28342
db	23
dc	28
da	4842
dz	2
dy	2007
dv	762
dw	115
dt	66
du	3712
dr	5401
ds	4960
dp	9
dq	49
qu	4505
wg	9
wf	89
#i	72276
wd	464
wc	27
wb	26
wz	2
#m	39505
#c	47266
#b	49322
wm	11
#k	5869
#j	3966
we	14988
#h	68914
#o	78024
#n	25437
wa	20139
#l	25814
wo	7934
wn	3983
#a	129811
wl	404
#g	18323
#f	43082
#e	25100
#d	32936
ww	18
#z	240
#y	10650
jo	1834
ws	1410
wi	17110
wp	8
#s	76156
je	1608
#q	2234
#p	40308
#w	68869
ja	624
#u	12860
#t	174502
jl	1
jm	2
wu	41
#x	426
jh	2
wr	1017
ck	5064
cj	1
ci	7544
ch	21266
co	28786
cn	8
cm	18
cl	5329
cc	3045
ca	17501
jk	3
cf	12
ce	25174
cd	57
cz	23
cy	1336
#r	29011
cs	365
cr	4864
cq	230
cp	1
cw	8
jf	3
cu	5642
ct	13061
pr	16328
ps	2048
pp	6004
jg	4
pw	55
pt	3594
pu	3930
py	628
#v	8318
pb	32
pc	129
pa	11494
pf	133
wy	89
pd	8
pe	17231
pj	1
pk	28
ph	2373
pi	6831
pn	48
po	11738
pl	8992
pm	154
iy	1
ix	738
iz	1456
ve	30865
vg	3
iq	117
ip	2561
is	46230
ir	11975
iu	513
it	44279
iw	6
iv	7974
ii	572
ih	28
ik	1921
ij	2
im	15189
il	16592
io	24793
in	97611
ia	8598
vy	259
ic	22024
ib	3177
ie	15179
id	14476
ig	9085
if	7244
jt	3
ju	2203
jw	3
jp	1
jq	2
jr	5
vs	614
js	5
bd	121
be	22567
bf	1
ba	5623
bb	413
bc	146
bl	8564
bm	150
bn	62
bo	8451
bh	3
bi	2550
bj	482
bk	1
bt	650
bu	8567
bv	122
bw	23
bp	1
br	4745
bs	1621
by	6903
oo	11278
on	64505
om	22388
ol	15005
ok	4515
oj	369
oi	4289
oh	844
og	1850
of	43545
oe	1173
od	6322
oc	5097
ob	2174
oa	2310
oz	159
oy	1521
ox	466
ow	16542
ov	10976
ou	41828
ot	16758
os	12813
or	43497
oq	38
op	7152
pg	6
hy	1825
hr	2936
hs	544
hp	10
hq	2
hv	9
hw	146
ht	6660
hu	2857
hj	1
hk	97
hh	17
hi	39476
hn	340
ho	22412
hl	363
hm	539
hb	149
hc	73
ha	43725
hf	97
hg	1
hd	140
he	140317
ji	17
uy	77
ux	78
uz	700
uu	3
ut	19241
uw	2
uv	144
uq	8
up	6179
us	18970
ur	20242
um	4419
ul	14322
uo	298
un	17019
ui	3287
uh	46
uk	269
uj	1
ue	5126
ud	2445
ug	5670
uf	898
ua	3426
uc	5346
ub	3221
aa	21
ac	15931
ab	7822
ae	863
ad	19143
ag	7339
af	3637
ai	15664
ah	450
ak	4432
aj	335
am	10451
al	32717
ao	124
an	83676
aq	12
ap	8172
as	38557
ar	40044
au	4270
at	57125
aw	3624
av	8392
ay	10499
ax	533
az	516
nh	354
ni	13030
nj	666
nk	2609
nl	3429
nm	842
nn	3347
no	20080
na	11582
nb	383
nc	16166
nd	63062
ne	29220
nf	2841
ng	43321
nx	197
ny	3769
nz	43
np	139
nq	366
nr	242
ns	16713
nt	36823
nu	2612
nv	1685
nw	220
